tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:3214136-3215300	-	-	8.2739	6.68159	9.86621	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:3216095-3216293	-	-	31.363	13.1869	49.5391	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:3203411-3204719	-	-	6.99619	5.62672	8.36566	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:3199741-3203344	-	-	13.5811	12.488	14.6742	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:3205412-3207110	-	-	7.04324	5.86527	8.22121	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:3204810-3205335	-	-	9.82308	6.80516	12.841	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:3323278-3323666	-	-	4.36607	1.73323	6.99891	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:3213561-3213842	-	-	13.9192	6.9596	20.8788	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:3421702-3421893	-	-	44.3557	21.2401	67.4713	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4687887-4688048	-	-	305.084	223.201	386.968	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4688098-4688172	-	-	3324.93	2111	4538.86	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4688646-4689236	-	-	16.9203	13.3142	20.5264	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4785569-4785673	-	-	464.364	239.114	689.613	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:4837000-4841110	-	-	41.6662	31.8626	51.4698	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:4844962-4846731	-	-	18.1971	16.3443	20.0499	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4808458-4832381	-	-	98.1114	69.6445	126.578	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:4878024-4878129	-	-	789.875	501.453	1078.3	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4491277-4491750	-	-	4.9027	2.59002	7.21538	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:4904886-4905533	-	-	6.62929	4.52059	8.73799	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:4905747-4906098	-	-	15.3064	9.8082	20.8047	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:4906149-4906535	-	-	9.22769	5.36027	13.0951	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:4908062-4908248	-	-	32.4152	11.4851	53.3453	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:4776377-4784102	-	-	41.8	37.4724	46.1276	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:4909550-4963291	-	-	27.1933	24.5946	29.7921	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:6234022-6234362	-	-	66.7966	40.4978	93.0953	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:6239953-6240347	-	-	9.8065	5.88465	13.7283	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:6244104-6245319	-	-	17.28	13.2374	21.3226	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:5083219-5163071	-	-	104.268	98.1078	110.428	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:6430033-6430214	-	-	98.6247	60.8989	136.35	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:6440150-6440258	-	-	330.928	146.151	515.706	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:6248277-6276070	-	-	16.2555	15.206	17.305	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:8361611-8362580	-	-	3.74798	2.54634	4.94963	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:8359964-8361399	-	-	7.76934	6.40651	9.13217	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:8362796-8363631	-	-	11.8794	9.51964	14.2392	OK
CUFF.37	-	-	CUFF.37	-	-	chr1:8681988-8782896	-	-	44.1446	17.5244	70.7649	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:9298947-9299138	-	-	35.4846	14.9198	56.0493	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:8414208-8583244	-	-	14.1501	10.9467	17.3535	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:8595411-8677849	-	-	18.1861	12.3555	24.0168	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:9553621-9553819	-	-	31.363	13.1869	49.5391	OK
CUFF.42	-	-	CUFF.42	-	-	chr1:9566777-9566939	-	-	100.342	54.2369	146.447	OK
CUFF.44	-	-	CUFF.44	-	-	chr1:9546266-9547452	-	-	14.5736	12.4567	16.6905	OK
CUFF.41	-	-	CUFF.41	-	-	chr1:9549912-9553451	-	-	26.9159	15.637	38.1948	OK
CUFF.45	-	-	CUFF.45	-	-	chr1:9576189-9576895	-	-	12.7288	9.98433	15.4734	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:9555441-9563565	-	-	12.3895	9.25898	15.5201	OK
CUFF.46	-	-	CUFF.46	-	-	chr1:9561542-9561612	-	-	1397.24	495.061	2299.42	OK
CUFF.47	-	-	CUFF.47	-	-	chr1:9718888-9719043	-	-	61.907	21.9344	101.88	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:7089195-7173621	-	-	18.6965	17.6149	19.778	OK
CUFF.48	-	-	CUFF.48	-	-	chr1:9675971-9676184	-	-	22.4839	8.92558	36.0421	OK
CUFF.49	-	-	CUFF.49	-	-	chr1:9719259-9720028	-	-	4.29117	2.78947	5.79286	OK
CUFF.50	-	-	CUFF.50	-	-	chr1:9736964-9737045	-	-	1407.09	760.564	2053.62	OK
CUFF.51	-	-	CUFF.51	-	-	chr1:9745455-9747701	-	-	10.489	9.24946	11.7286	OK
CUFF.52	-	-	CUFF.52	-	-	chr1:9720317-9725337	-	-	14.2037	13.2624	15.1449	OK
CUFF.54	-	-	CUFF.54	-	-	chr1:9802250-9802470	-	-	40.7279	23.1047	58.3512	OK
CUFF.57	-	-	CUFF.57	-	-	chr1:9899321-9900034	-	-	8.22522	6.02983	10.4206	OK
CUFF.56	-	-	CUFF.56	-	-	chr1:9898814-9899052	-	-	29.976	16.8934	43.0586	OK
CUFF.55	-	-	CUFF.55	-	-	chr1:9885687-9891451	-	-	11.0594	7.08673	15.032	OK
CUFF.58	-	-	CUFF.58	-	-	chr1:9942050-9942719	-	-	60.9731	45.9721	75.9742	OK
CUFF.59	-	-	CUFF.59	-	-	chr1:10066681-10067015	-	-	11.6484	6.56461	16.7322	OK
CUFF.60	-	-	CUFF.60	-	-	chr1:10068188-10068321	-	-	108.275	38.3633	178.187	OK
CUFF.53	-	-	CUFF.53	-	-	chr1:8803928-9298633	-	-	38.1711	20.83	55.5121	OK
CUFF.63	-	-	CUFF.63	-	-	chr1:10136155-10136532	-	-	11.385	6.99398	15.7759	OK
CUFF.64	-	-	CUFF.64	-	-	chr1:10136583-10136706	-	-	144.721	51.2765	238.166	OK
CUFF.65	-	-	CUFF.65	-	-	chr1:10156912-10159743	-	-	43.4045	36.4764	50.3326	OK
CUFF.66	-	-	CUFF.66	-	-	chr1:10215837-10216552	-	-	54.519	26.1069	82.9311	OK
CUFF.67	-	-	CUFF.67	-	-	chr1:10213041-10214274	-	-	21.3851	14.4146	28.3556	OK
CUFF.61	-	-	CUFF.61	-	-	chr1:10024615-10037941	-	-	51.752	47.9114	55.5926	OK
CUFF.68	-	-	CUFF.68	-	-	chr1:10159876-10172973	-	-	27.1804	21.8069	32.5538	OK
CUFF.70	-	-	CUFF.70	-	-	chr1:10137571-10154412	-	-	27.6808	25.4879	29.8737	OK
CUFF.62	-	-	CUFF.62	-	-	chr1:9601158-9627143	-	-	173.968	0	15401.1	OK
CUFF.69	-	-	CUFF.69	-	-	chr1:10173193-10209701	-	-	11.6241	10.3406	12.9077	OK
CUFF.71	-	-	CUFF.71	-	-	chr1:11098464-11098579	-	-	186.262	65.9951	306.53	OK
CUFF.72	-	-	CUFF.72	-	-	chr1:11068045-11089873	-	-	20.1353	13.2474	27.0233	OK
CUFF.75	-	-	CUFF.75	-	-	chr1:11142654-11142776	-	-	149.202	52.864	245.539	OK
CUFF.76	-	-	CUFF.76	-	-	chr1:11170588-11170791	-	-	45.6255	24.6615	66.5894	OK
CUFF.78	-	-	CUFF.78	-	-	chr1:11181856-11184543	-	-	42.1004	29.6643	54.5365	OK
CUFF.79	-	-	CUFF.79	-	-	chr1:11149819-11160235	-	-	10.4273	7.02849	13.826	OK
CUFF.77	-	-	CUFF.77	-	-	chr1:11162243-11170076	-	-	15.9922	10.8649	21.1194	OK
CUFF.81	-	-	CUFF.81	-	-	chr1:11199837-11200041	-	-	59.0452	35.4058	82.6846	OK
CUFF.80	-	-	CUFF.80	-	-	chr1:11185131-11193550	-	-	15.526	9.75982	21.2923	OK
CUFF.74	-	-	CUFF.74	-	-	chr1:11132346-11140291	-	-	14.4553	8.88014	20.0304	OK
CUFF.83	-	-	CUFF.83	-	-	chr1:11265968-11285160	-	-	20.5488	12.6235	28.4741	OK
CUFF.73	-	-	CUFF.73	-	-	chr1:11101063-11112803	-	-	10.3006	6.80299	13.7982	OK
CUFF.85	-	-	CUFF.85	-	-	chr1:11123159-11123224	-	-	1976.99	700.474	3253.52	OK
CUFF.86	-	-	CUFF.86	-	-	chr1:11601253-11601660	-	-	38.9051	31.4178	46.3924	OK
CUFF.84	-	-	CUFF.84	-	-	chr1:11289250-11298662	-	-	15.0458	12.7149	17.3768	OK
CUFF.88	-	-	CUFF.88	-	-	chr1:11298734-11303536	-	-	14.6961	13.7149	15.6773	OK
CUFF.82	-	-	CUFF.82	-	-	chr1:11204066-11265736	-	-	21.7798	16.2085	27.3511	OK
CUFF.87	-	-	CUFF.87	-	-	chr1:11414417-11563000	-	-	24.4236	20.4874	28.3599	OK
CUFF.89	-	-	CUFF.89	-	-	chr1:11975020-11975747	-	-	6.46069	4.55226	8.36912	OK
CUFF.90	-	-	CUFF.90	-	-	chr1:11588379-11601064	-	-	18.3707	17.3137	19.4277	OK
CUFF.91	-	-	CUFF.91	-	-	chr1:12842679-12848207	-	-	20.0582	10.5964	29.52	OK
CUFF.92	-	-	CUFF.92	-	-	chr1:12838464-12840482	-	-	8.95997	4.29056	13.6294	OK
CUFF.93	-	-	CUFF.93	-	-	chr1:12859252-12859796	-	-	6.25619	3.9327	8.57968	OK
CUFF.94	-	-	CUFF.94	-	-	chr1:12859866-12860370	-	-	14.9059	11.0215	18.7904	OK
CUFF.95	-	-	CUFF.95	-	-	chr1:12860420-12860811	-	-	8.59424	4.92964	12.2588	OK
CUFF.96	-	-	CUFF.96	-	-	chr1:13142597-13148503	-	-	11.2216	7.5639	14.8793	OK
CUFF.97	-	-	CUFF.97	-	-	chr1:13160170-13160267	-	-	429.526	180.599	678.454	OK
CUFF.98	-	-	CUFF.98	-	-	chr1:13162085-13162287	-	-	46.3944	25.0772	67.7117	OK
CUFF.99	-	-	CUFF.99	-	-	chr1:13164909-13167109	-	-	11.5274	7.4438	15.6111	OK
CUFF.100	-	-	CUFF.100	-	-	chr1:13174103-13174387	-	-	21.113	12.6602	29.5658	OK
CUFF.101	-	-	CUFF.101	-	-	chr1:13174590-13175012	-	-	6.04195	3.19187	8.89204	OK
CUFF.102	-	-	CUFF.102	-	-	chr1:13139129-13142536	-	-	20.5488	19.1608	21.9369	OK
CUFF.103	-	-	CUFF.103	-	-	chr1:13148945-13156505	-	-	7.01555	5.20431	8.82679	OK
CUFF.104	-	-	CUFF.104	-	-	chr1:13175168-13181243	-	-	12.1346	8.65521	15.6141	OK
CUFF.105	-	-	CUFF.105	-	-	chr1:13184353-13190192	-	-	17.6656	10.2618	25.0695	OK
CUFF.106	-	-	CUFF.106	-	-	chr1:13181305-13184292	-	-	141.366	59.4386	223.293	OK
