tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.2	-	-	CUFF.2	-	-	chr1:3214015-3215211	-	-	16.2854	14.0456	18.5252	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:3199874-3201847	-	-	30.6839	28.4104	32.9574	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:3216598-3216762	-	-	101.85	56.3011	147.398	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:3204869-3205789	-	-	17.8957	15.1469	20.6445	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:3206400-3207239	-	-	17.4914	14.635	20.3477	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:3205844-3206346	-	-	16.3584	12.2515	20.4653	OK
CUFF.1	-	-	CUFF.1	-	-	chr1:3207304-3213937	-	-	16.7891	12.7153	20.8628	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:3201900-3204681	-	-	18.3342	16.8687	19.7996	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:3215356-3215681	-	-	27.4755	19.3594	35.5915	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:3215748-3215985	-	-	36.4357	21.8482	51.0231	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:3216038-3216546	-	-	16.766	12.6695	20.8625	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4687892-4688048	-	-	149.315	88.37	210.26	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4688100-4688165	-	-	2489.96	1053.53	3926.38	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4688691-4689231	-	-	10.5572	7.49402	13.6203	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4775556-4775876	-	-	13.6563	7.83323	19.4794	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:4773504-4773626	-	-	180.398	75.85	284.945	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:4844959-4846694	-	-	21.6958	19.6277	23.7639	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:4832306-4841155	-	-	42.2715	35.1518	49.3913	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:4878025-4878125	-	-	800.674	480.115	1121.23	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:4889454-4889597	-	-	429.1	308.473	549.728	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:4898717-4898881	-	-	56.0173	22.2376	89.797	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:4776389-4785685	-	-	44.0329	0	365.75	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:4904740-4904966	-	-	20.3539	8.558	32.1498	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:4908725-4908898	-	-	71.5891	36.8633	106.315	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:4909497-4910229	-	-	15.9062	12.9128	18.8995	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:4910279-4916946	-	-	37.4714	32.5016	42.4411	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:5170620-5170665	-	-	18033.4	6011.12	30055.6	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:5602259-5602431	-	-	55.8796	24.8832	86.876	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:5603358-5603471	-	-	260.696	116.088	405.304	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:5602602-5602737	-	-	123.903	52.0963	195.71	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:5602823-5603116	-	-	14.84	8.02135	21.6587	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:5604033-5604429	-	-	16.874	11.7535	21.9945	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:5604522-5604811	-	-	21.0827	12.7822	29.3833	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:5605348-5605774	-	-	11.9577	7.89741	16.018	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:5914315-5914555	-	-	22.4157	11.2078	33.6235	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:5605869-5606109	-	-	33.6235	19.8043	47.4428	OK
CUFF.37	-	-	CUFF.37	-	-	chr1:6227940-6230064	-	-	63.8939	41.2593	86.5286	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:6244805-6245643	-	-	28.7606	23.3009	34.2202	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:6244105-6244262	-	-	166.759	103.73	229.789	OK
CUFF.41	-	-	CUFF.41	-	-	chr1:6233965-6234088	-	-	335.379	194.818	475.94	OK
CUFF.42	-	-	CUFF.42	-	-	chr1:6239978-6240378	-	-	21.7948	15.9721	27.6176	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:6275858-6276044	-	-	47.358	22.0591	72.6569	OK
CUFF.44	-	-	CUFF.44	-	-	chr1:6275666-6275808	-	-	137.222	68.6109	205.833	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:6234320-6238387	-	-	46.8154	25.8789	67.7519	OK
CUFF.45	-	-	CUFF.45	-	-	chr1:6274197-6275572	-	-	29.2438	26.5007	31.987	OK
CUFF.46	-	-	CUFF.46	-	-	chr1:6280914-6281105	-	-	50.6505	26.0814	75.2195	OK
CUFF.48	-	-	CUFF.48	-	-	chr1:6429942-6430105	-	-	75.4746	35.1557	115.793	OK
CUFF.47	-	-	CUFF.47	-	-	chr1:6248062-6272772	-	-	22.4251	20.5868	24.2634	OK
CUFF.49	-	-	CUFF.49	-	-	chr1:6440686-6440860	-	-	47.4511	18.8641	76.0382	OK
CUFF.50	-	-	CUFF.50	-	-	chr1:5083212-5162631	-	-	205.162	194.637	215.687	OK
CUFF.51	-	-	CUFF.51	-	-	chr1:5083516-5083627	-	-	493.532	286.687	700.376	OK
CUFF.52	-	-	CUFF.52	-	-	chr1:7173024-7173621	-	-	12.7946	9.64679	15.9424	OK
CUFF.53	-	-	CUFF.53	-	-	chr1:8359983-8360442	-	-	17.9439	13.3088	22.5791	OK
CUFF.54	-	-	CUFF.54	-	-	chr1:8360494-8360760	-	-	17.4387	8.97968	25.8977	OK
CUFF.56	-	-	CUFF.56	-	-	chr1:8360996-8361698	-	-	10.8476	8.28248	13.4127	OK
CUFF.57	-	-	CUFF.57	-	-	chr1:8362449-8362824	-	-	10.7429	6.44187	15.044	OK
CUFF.58	-	-	CUFF.58	-	-	chr1:8362880-8448000	-	-	11.5804	9.47195	13.6889	OK
CUFF.55	-	-	CUFF.55	-	-	chr1:7120206-7172934	-	-	21.02	19.7714	22.2686	OK
CUFF.60	-	-	CUFF.60	-	-	chr1:8681974-8803972	-	-	39.4638	23.2719	55.6556	OK
CUFF.61	-	-	CUFF.61	-	-	chr1:9298199-9298493	-	-	15.4777	8.55588	22.3996	OK
CUFF.62	-	-	CUFF.62	-	-	chr1:9298648-9298888	-	-	29.4206	16.5804	42.2608	OK
CUFF.59	-	-	CUFF.59	-	-	chr1:8624797-8677851	-	-	134.356	53.3364	215.376	OK
CUFF.63	-	-	CUFF.63	-	-	chr1:9555536-9555613	-	-	1016.98	403.72	1630.25	OK
CUFF.64	-	-	CUFF.64	-	-	chr1:9546266-9547389	-	-	13.9017	11.7589	16.0446	OK
CUFF.65	-	-	CUFF.65	-	-	chr1:9553646-9553774	-	-	138.291	54.8984	221.684	OK
CUFF.66	-	-	CUFF.66	-	-	chr1:9560189-9563567	-	-	2126.42	1235.21	3017.63	OK
CUFF.67	-	-	CUFF.67	-	-	chr1:9566920-9576700	-	-	14.1392	10.4868	17.7915	OK
CUFF.68	-	-	CUFF.68	-	-	chr1:9667576-9667709	-	-	196.371	103.74	289.002	OK
CUFF.69	-	-	CUFF.69	-	-	chr1:9678274-9678340	-	-	555.394	0	1196.71	OK
CUFF.70	-	-	CUFF.70	-	-	chr1:9672566-9673170	-	-	72.3276	32.2075	112.448	OK
CUFF.71	-	-	CUFF.71	-	-	chr1:9667952-9668249	-	-	32.3806	22.4324	42.3288	OK
CUFF.72	-	-	CUFF.72	-	-	chr1:9676209-9676304	-	-	900.185	522.908	1277.46	OK
CUFF.73	-	-	CUFF.73	-	-	chr1:9718697-9718822	-	-	219.691	109.845	329.536	OK
CUFF.74	-	-	CUFF.74	-	-	chr1:9718909-9719139	-	-	40.0771	24.0318	56.1224	OK
CUFF.75	-	-	CUFF.75	-	-	chr1:9720194-9720334	-	-	90.3361	32.0072	148.665	OK
CUFF.76	-	-	CUFF.76	-	-	chr1:9720418-9721250	-	-	20.3977	17.2646	23.5309	OK
CUFF.77	-	-	CUFF.77	-	-	chr1:9745458-9747582	-	-	25.6847	23.6766	27.6929	OK
CUFF.78	-	-	CUFF.78	-	-	chr1:9802250-9802411	-	-	76.1685	35.4547	116.882	OK
CUFF.79	-	-	CUFF.79	-	-	chr1:9868417-9868534	-	-	281.392	140.696	422.088	OK
CUFF.80	-	-	CUFF.80	-	-	chr1:9871629-9872410	-	-	49.1886	30.9204	67.4568	OK
CUFF.81	-	-	CUFF.81	-	-	chr1:9877210-9880360	-	-	270.596	142.952	398.241	OK
CUFF.82	-	-	CUFF.82	-	-	chr1:9898853-9899091	-	-	25.8883	13.6764	38.1002	OK
CUFF.83	-	-	CUFF.83	-	-	chr1:9881581-9884444	-	-	22.228	11.7427	32.7133	OK
CUFF.84	-	-	CUFF.84	-	-	chr1:9884494-9885684	-	-	1257.71	628.853	1886.56	OK
CUFF.86	-	-	CUFF.86	-	-	chr1:9899213-9899749	-	-	8.23545	5.49968	10.9712	OK
CUFF.87	-	-	CUFF.87	-	-	chr1:9899840-9899965	-	-	260.883	141.013	380.753	OK
CUFF.88	-	-	CUFF.88	-	-	chr1:9900107-9900282	-	-	56.6095	26.3505	86.8686	OK
CUFF.85	-	-	CUFF.85	-	-	chr1:9721313-9737053	-	-	24.369	23.0073	25.7306	OK
CUFF.89	-	-	CUFF.89	-	-	chr1:9941991-9942712	-	-	51.2387	40.5146	61.9628	OK
