"","SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"0610005C13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610006L08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009B22Rik",0,1,248,0,0,311,0,0,38,122,308,749,20,351,5,135,0,0,308,106,0,291,357,0,180,552,2,99,0,209,25,681,3,1,0,983,0,99
"0610009E02Rik",0,0,0,0,0,58,32,100,0,49,0,24,54,36,3,67,0,0,43,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009L18Rik",0,0,49,195,0,0,0,0,127,0,71,222,0,75,0,35,0,0,26,269,81,25,0,194,0,112,0,1,95,0,1,48,0,0,0,471,0,80
"0610010F05Rik",76,157,159,248,0,346,7,6,0,494,416,0,614,285,49,308,533,290,1105,46,52,1174,476,38,442,6,85,2,0,1033,311,68,82,84,155,0,498,937
"0610010K14Rik",308,0,241,0,85,0,6,125,1532,624,952,1064,184,169,169,268,26,72,243,455,0,143,492,13,30,284,1,0,744,340,160,1,4,10,27,382,0,708
"0610012G03Rik",366,20,654,147,1,124,499,583,1779,730,2819,1138,323,718,195,370,204,88,1009,1242,259,587,992,746,72,938,57,976,1161,1093,256,844,8,81,208,1867,331,745
"0610025J13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610030E20Rik",81,128,157,61,0,1,0,136,367,13,285,3,307,65,228,329,364,267,692,581,27,484,69,70,62,0,0,1,0,1204,0,0,6,0,101,0,0,3
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610038B21Rik",0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610039H22Rik",0,5,1,24,0,0,0,0,0,0,17,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"0610039K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040B10Rik",0,23,30,27,0,2,9,0,0,0,136,0,5,36,1,61,0,0,4,0,0,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040F04Rik",0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,50,16,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610042G04Rik",3,13,2,51,0,52,0,2,0,0,48,106,28,25,0,0,0,0,27,0,0,18,0,261,47,0,0,0,0,0,0,0,1,1,1,0,0,0
"0610043K17Rik",0,0,8,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100001I12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",2,0,32,256,0,22,2,0,0,0,0,0,214,4,183,72,76,0,3,4,26,0,88,0,12,0,0,0,0,0,7,0,28,0,6,185,0,0
"1110002J07Rik",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002L01Rik",0,0,0,0,0,0,0,12,0,53,0,0,0,23,0,0,0,22,102,7,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"1110002O04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110004F10Rik",545,98,575,58,128,278,944,1065,2179,542,1707,1243,806,2258,845,1128,269,168,972,1632,22,602,1273,584,98,887,184,635,199,1460,590,279,327,779,84,2396,470,1635
"1110006O24Rik",0,0,0,162,0,31,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110008P14Rik",896,1,685,210,5,781,481,391,2716,727,1808,883,362,893,329,630,211,164,440,901,269,206,588,317,76,445,48,88,11,860,575,689,187,275,474,1601,15,1192
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",0,0,0,49,0,0,0,95,0,0,1,0,0,82,1,45,0,0,18,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1110018N20Rik",8,44,66,2,1,565,3,867,142,3,12,100,264,349,670,18,9,191,635,42,5,704,38,43,607,0,4,0,3,1,49,0,50,1,2,151,1,0
"1110019D14Rik",0,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,4,0,10,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,102,3,0
"1110020A21Rik",0,0,49,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,25,0,0,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025M09Rik",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",0,0,10,177,0,0,0,300,650,92,1699,955,109,430,151,96,168,34,662,96,14,163,740,0,76,277,6,111,327,0,0,0,93,0,60,1500,36,448
"1110032F04Rik",0,0,0,0,0,0,27,0,0,0,0,24,0,147,0,0,0,0,0,0,0,1,0,0,0,0,0,722,0,0,0,0,0,0,0,0,13,0
"1110036E04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110038B12Rik",85,35,4,201,0,127,151,1139,0,3,132,298,190,129,131,172,0,98,12,11,2,55,356,0,0,193,0,1052,0,0,323,500,0,27,0,0,110,96
"1110038F14Rik",380,37,394,54,13,623,53,245,265,0,1291,164,387,803,525,156,244,11,493,233,27,322,277,875,53,78,0,126,241,455,144,0,444,1,93,119,67,348
"1110046J04Rik",0,0,0,3,0,6,0,238,0,0,42,0,25,74,0,2,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
"1110051M20Rik",821,0,1209,49,2,886,928,1,15,65,978,975,460,1594,127,1091,55,146,1368,648,4,520,918,68,164,1952,3,5,373,2051,928,0,29,35,333,727,0,659
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110058D11Rik",0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",28,0,20,2,0,0,0,0,115,0,46,72,8,0,20,27,0,0,139,44,7,18,5,3,1,96,0,0,0,1,0,8,59,101,0,11,0,91
"1110059G10Rik",874,53,371,14,0,34,0,1,215,183,535,479,134,548,38,223,74,193,182,172,0,81,208,459,100,214,3,3,305,5,9,1102,7,217,0,32,0,134
"1110065P20Rik",0,0,5,0,0,59,122,43,294,28,561,189,33,42,38,27,1,9,90,76,33,30,55,0,0,0,0,0,0,65,0,98,0,1,0,322,0,95
"1190005I06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,20,0,0,4,0,0,0,0,5,19,0
"1190007I07Rik",0,1,135,42,0,0,3,0,52,65,27,48,1,12,15,9,0,21,38,234,65,45,77,4,20,0,0,0,61,0,52,0,0,338,0,70,0,62
"1190028D05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1300002E11Rik",188,35,20,49,0,43,7,736,0,84,0,0,242,44,2,138,0,11,41,38,18,82,0,0,105,0,0,0,23,274,91,45,2,0,233,0,0,4
"1300017J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500002C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500002F19Rik",0,8,17,1,0,18,12,511,0,74,0,6,4,4,1,4,0,0,4,7,0,0,4,0,0,0,13,0,0,0,16,0,4,0,0,0,28,8
"1500004A13Rik",13,19,278,492,0,297,683,60,416,102,858,1025,290,866,100,369,69,68,345,230,71,475,446,9,8,14,0,0,5,165,300,0,53,61,144,405,46,171
"1500009C09Rik",10,0,99,70,1,0,3,0,2,327,235,59,0,153,1,78,68,0,609,286,1,371,145,741,11,387,423,7,170,610,1,0,1,70,6,550,89,226
"1500009L16Rik",202,0,60,3,0,10,0,0,0,37,184,50,122,317,0,35,0,87,323,380,0,0,106,1,2,293,0,0,0,315,60,1,306,108,109,0,0,222
"1500011B03Rik",965,4,420,140,1,734,693,103,702,631,4050,767,957,1858,846,938,705,277,2159,2639,230,1060,1088,1629,165,692,15,1239,41,2021,942,0,185,12,183,2620,507,2436
"1500012K07Rik",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500015A07Rik",171,1,0,41,0,177,0,184,0,0,0,0,142,207,117,86,0,4,135,297,0,35,210,1,0,3,0,0,23,530,3,0,0,38,0,0,0,133
"1500015L24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500026H17Rik",0,0,0,0,0,143,0,0,0,28,48,0,14,350,0,1,0,0,42,0,56,13,36,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0
"1500035N22Rik",0,10,84,13,0,1,0,87,84,87,0,0,66,2,15,0,0,0,86,3,0,130,197,0,0,0,0,0,0,0,0,0,10,0,0,0,0,155
"1520401A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
"1600002D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600010M07Rik",0,0,0,0,0,0,2,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600012H06Rik",476,37,343,41,0,462,0,0,0,265,399,0,239,385,0,61,0,89,487,8,5,8,237,763,34,0,3,0,559,0,308,0,0,0,1,0,0,121
"1600012P17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600014C10Rik",109,1,295,50,1,48,0,0,385,150,682,1278,247,985,16,615,285,1,758,1153,142,661,108,2,0,134,0,0,0,0,0,8,0,7,0,0,2,385
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015H23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600020E01Rik",142,0,140,252,1,179,0,0,413,0,264,448,71,122,180,44,0,37,145,0,0,168,41,0,0,0,0,0,0,263,120,0,0,0,0,261,0,0
"1600023N17Rik",0,0,0,0,0,0,0,0,0,0,125,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029I14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029O15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,1,0,0,0,10,0,1,5,0,0,0,0,0
"1700001C19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G11Rik",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"1700001G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700001K19Rik",0,0,0,27,0,23,0,0,0,0,1,0,54,22,52,0,0,2,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,148,0,73
"1700001K23Rik",0,0,47,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001L05Rik",0,0,4,0,0,56,0,0,0,0,0,0,0,0,0,0,1,73,0,1193,0,0,170,0,2,1,0,0,0,0,1,1799,0,3,0,728,0,27
"1700001L19Rik",0,1,94,0,0,0,0,0,0,0,195,0,0,0,0,104,0,0,72,0,62,1,0,26,18,0,211,0,0,0,8,0,16,151,6,0,0,0
"1700001O22Rik",0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,1,0,0,0,73,0,103,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0,0,0,0,0,32,4,32,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003E16Rik",326,0,133,1,0,26,5,0,483,3,0,172,120,1,122,0,0,1,137,109,0,114,163,187,5,0,0,0,0,388,3,0,21,0,45,364,0,727
"1700003E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"1700003F12Rik",72,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003G18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003I22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M07Rik",169,11,111,197,0,15,55,0,88,0,350,408,2,0,0,0,1,0,8,112,19,47,1,367,0,0,0,1,0,0,0,2,4,0,0,563,0,0
"1700003P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006H20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007F19Rik",0,0,11,0,0,0,0,0,0,0,0,0,0,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007J10Rik",0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,36,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",0,0,0,0,0,52,0,0,0,0,0,0,0,18,52,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007L15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
"1700007P06Rik",0,0,14,0,0,132,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"1700008C04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008J07Rik",0,0,19,0,0,0,0,0,210,0,159,13,30,2,27,0,0,0,264,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,130,61,0,0
"1700008K24Rik",0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",0,0,0,0,0,0,0,0,24,158,47,296,2,139,107,0,0,2,45,25,27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010G06Rik",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1700010H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010J16Rik",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010N08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,6,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012C14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012D01Rik",0,0,0,1,0,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012D14Rik",0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
"1700012D16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012H19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012I11Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012J15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",132,0,0,0,0,0,0,0,0,0,0,273,31,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,14,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013N06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700014D04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014L14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015I17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016A09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016B01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
